brand,name,models,color,ram,storage,rom,screen,screen_size,sim,os,behind_camera,front_camera,url,error_url
OnePlus,One,A0001,"['Silk White', ' Sandstone Black']","['3GB', '3GB']","['16GB', '64GB']",-1,"LTPS IPS LCD capacitive touchscreen, 16M colors","5.5 inches, 83.4 cm",Micro-SIM,"Android 4.4.2 (KitKat), upgradable to 6.0.1 (Marshmallow)","['13 MP, f/2.0, 1/3"", 1.12µm, AF']","['5 MP, f/2.0']",http://webcache.googleusercontent.com/search?q=cache:https://www.gsmarena.com/oneplus_one-6327.php,-1
Realme,1,"CPH1859, CPH1861","['Diamond Black', ' Solar Red', ' Moonlight Silver']","['3GB', '4GB', '6GB']","['32GB', '64GB', '128GB']",-1,"IPS LCD capacitive touchscreen, 16M colors","6.0 inches, 92.9 cm","Dual SIM (Nano-SIM, dual stand-by)","Android 8.1 (Oreo), upgradable to Android 9.0 (Pie); ColorOS 6","['13 MP, f/2.2, PDAF']","['8 MP, f/2.2']",http://webcache.googleusercontent.com/search?q=cache:https://www.gsmarena.com/realme_1-9200.php,-1
Realme,2,"RMX1805, RMX1809","['Diamond Black', ' Diamond Red', ' Diamond Blue']","['3GB', '4GB']","['32GB', '64GB']",-1,"IPS LCD capacitive touchscreen, 16M colors","6.2 inches, 95.9 cm","Dual SIM (Nano-SIM, dual stand-by)","Android 8.1 (Oreo), upgradable to Android 9.0 (Pie); ColorOS 6","['13 MP, f/2.2, AF', '2 MP, f/2.4, depth sensor']","['8 MP, f/2.2, 1/4"", 1.12µm']",http://webcache.googleusercontent.com/search?q=cache:https://www.gsmarena.com/realme_2-9299.php,-1
Google,Pixel C,"RMX1805, RMX1809",['Silver Aluminum'],"['3GB', '3GB']","['32GB', '64GB']",-1,"LTPS IPS LCD capacitive touchscreen, 16M colors","10.2 inches, 313.8 cm",No,"Android 6.0.1 (Marshmallow), upgradable to Android 8.0 (Oreo)","['8 MP, f/2.4']",['2 MP'],http://webcache.googleusercontent.com/search?q=cache:https://www.gsmarena.com/google_pixel_c-7826.php,-1
Plum,Sync 5.0,"RMX1805, RMX1809","['Black/Gold', ' White/Silver', ' Pink/Silver', ' Blue/Silver']",['512MB'],['4GB'],-1,"TFT capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm",Dual SIM,Android 4.2.2 (Jelly Bean),"['5 MP, AF']",['1.3 MP'],http://webcache.googleusercontent.com/search?q=cache:https://www.gsmarena.com/plum_sync_5_0-6616.php,-1
Plum,Might LTE,"RMX1805, RMX1809","['Black', ' White']",['1GB'],['8GB'],-1,"IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm",Mini-SIM,Android 4.4.2 (KitKat),"['8 MP, AF']",['2 MP'],http://webcache.googleusercontent.com/search?q=cache:https://www.gsmarena.com/plum_might_lte-6755.php,-1
Plum,Trigger Plus III,"RMX1805, RMX1809","['Black', ' White', ' Red', ' Blue']",['256MB'],['512MB'],-1,"TFT capacitive touchscreen, 16M colors","3.5 inches, 36.5 cm",Dual SIM,Android 4.4.2 (KitKat),"['1.3 MP, AF']",['1.3 MP'],http://webcache.googleusercontent.com/search?q=cache:https://www.gsmarena.com/plum_trigger_plus_iii-7011.php,-1
Honor,5c,"NEM-UL10, NEM-TL00H, NEM-L21, NMO-L31, NMO-L22, NMO-L23, NMO-L01, NEM-L22, NEM-L51, NEM-AL10","['Silver', ' Gray', ' Gold']",['2GB'],['16GB'],-1,"IPS LCD capacitive touchscreen, 16M colors","5.2 inches, 74.5 cm","Hybrid Dual SIM (Nano-SIM, dual stand-by)","Android 6.0 (Marshmallow), upgradable to 7.0 (Nougat); EMUI 4.1","['13 MP, f/2.0, AF']","['8 MP, f/2.0']",http://webcache.googleusercontent.com/search?q=cache:https://www.gsmarena.com/honor_5c-8074.php,-1
Honor,5c,"NEM-UL10, NEM-TL00H, NEM-L21, NMO-L31, NMO-L22, NMO-L23, NMO-L01, NEM-L22, NEM-L51, NEM-AL10","['Silver', ' Gray', ' Gold']",['2GB'],['16GB'],-1,"IPS LCD capacitive touchscreen, 16M colors","5.2 inches, 74.5 cm","Hybrid Dual SIM (Nano-SIM, dual stand-by)","Android 6.0 (Marshmallow), upgradable to 7.0 (Nougat); EMUI 4.1","['13 MP, f/2.0, AF']","['8 MP, f/2.0']",http://webcache.googleusercontent.com/search?q=cache:https://www.gsmarena.com/honor_5c-8074.php,-1
Plum,Capacity,"NEM-UL10, NEM-TL00H, NEM-L21, NMO-L31, NMO-L22, NMO-L23, NMO-L01, NEM-L22, NEM-L51, NEM-AL10","['Black', ' Red']",['256MB'],['512MB'],-1,TFT capacitive touchscreen,"3.5 inches, 36.5 cm",Dual SIM (Mini-SIM),Android 2.3 (Gingerbread),['3.15 MP'],['1.3 MP'],http://webcache.googleusercontent.com/search?q=cache:https://www.gsmarena.com/plum_capacity-4765.php,-1
Plum,Axe,"NEM-UL10, NEM-TL00H, NEM-L21, NMO-L31, NMO-L22, NMO-L23, NMO-L01, NEM-L22, NEM-L51, NEM-AL10","['Black', ' White']",['512MB'],['4GB'],-1,"TFT capacitive touchscreen, 256K colors","4.0 inches, 45.5 cm",Dual SIM (Mini-SIM),Android 4.0 (Ice Cream Sandwich),"['5 MP, AF']",['VGA'],http://webcache.googleusercontent.com/search?q=cache:https://www.gsmarena.com/plum_axe-4764.php,-1
Plum,Might,"NEM-UL10, NEM-TL00H, NEM-L21, NMO-L31, NMO-L22, NMO-L23, NMO-L01, NEM-L22, NEM-L51, NEM-AL10","['Black', ' White']",['512MB'],['1GB'],-1,"TFT capacitive touchscreen, 256K colors","5.3 inches, 80.0 cm",Dual SIM (Mini-SIM),Android 4.0 (Ice Cream Sandwich),"['5 MP, AF']",['1.3 MP'],http://webcache.googleusercontent.com/search?q=cache:https://www.gsmarena.com/plum_might-4768.php,-1
Honor,U8860,"NEM-UL10, NEM-TL00H, NEM-L21, NMO-L31, NMO-L22, NMO-L23, NMO-L01, NEM-L22, NEM-L51, NEM-AL10","['Glossy Black', ' Textured Black', ' Elegant White', ' Vibrant Yellow', ' Cherry Blossom Pink', ' Burgundy']",['512MB'],['4GB'],-1,"TFT capacitive touchscreen, 16M colors","4.0 inches, 44.1 cm",Mini-SIM,"Android 2.3 (Gingerbread), upgradable to 4.0 (Ice Cream Sandwich)","['8 MP, AF']",['VGA'],http://webcache.googleusercontent.com/search?q=cache:https://www.gsmarena.com/honor_u8860-4197.php,-1
Honor,2,"NEM-UL10, NEM-TL00H, NEM-L21, NMO-L31, NMO-L22, NMO-L23, NMO-L01, NEM-L22, NEM-L51, NEM-AL10","['Black', ' White']",['2GB'],['8GB'],-1,"IPS LCD capacitive touchscreen, 16M colors","4.5 inches, 55.8 cm",Micro-SIM,Android 4.0 (Ice Cream Sandwich),"['8 MP, AF']",['1.3 MP'],http://webcache.googleusercontent.com/search?q=cache:https://www.gsmarena.com/honor_2-5092.php,-1
Xiaomi,Mi Note Plus,"NEM-UL10, NEM-TL00H, NEM-L21, NMO-L31, NMO-L22, NMO-L23, NMO-L01, NEM-L22, NEM-L51, NEM-AL10","['Black', ' White']",['3GB'],['64GB'],-1,"IPS LCD capacitive touchscreen, 16M colors","5.7 inches, 89.6 cm","Dual SIM (Micro-SIM/Nano-SIM, dual stand-by)",Android 4.4.4 (KitKat),"['13 MP, f/2.0, AF']","['4 MP, f/2.0, 1/3"", 2µm']",http://webcache.googleusercontent.com/search?q=cache:https://www.gsmarena.com/xiaomi_mi_note_plus-6960.php,-1
Huawei,MediaPad M2 10.0,"M2-A01W, M2-A01L","['Moonlight Silver', ' Luxurious Gold']","['2GB', '3GB']","['16GB', '64GB']",-1,"IPS LCD capacitive touchscreen, 16M colors","10.1 inches, 295.8 cm",Micro-SIM,Android 5.1 (Lollipop); EMUI 3.1,"['13 MP, f/2.0, AF']",['5 MP'],http://webcache.googleusercontent.com/search?q=cache:https://www.gsmarena.com/huawei_mediapad_m2_10_0-7854.php,-1
Panasonic,Eluga Power,"M2-A01W, M2-A01L","['Black', ' Silver']",['1GB'],['8GB'],-1,"LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm",Micro-SIM,Android 4.0 (Ice Cream Sandwich),"['8 MP, AF']",['Yes'],http://webcache.googleusercontent.com/search?q=cache:https://www.gsmarena.com/panasonic_eluga_power-4584.php,-1
Panasonic,P41,"M2-A01W, M2-A01L","['Black', ' White']",['1GB'],['8GB'],-1,"IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm",Dual SIM,Android 4.4.2 (KitKat),"['8 MP, AF']",['2 MP'],http://webcache.googleusercontent.com/search?q=cache:https://www.gsmarena.com/panasonic_p41-6728.php,-1
Panasonic,P51,"M2-A01W, M2-A01L","['Black', ' White']",['1GB'],['4GB'],-1,"IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm",Dual SIM (Micro-SIM),Android 4.2 (Jelly Bean),"['8 MP, AF']",['1.3 MP'],http://webcache.googleusercontent.com/search?q=cache:https://www.gsmarena.com/panasonic_p51-5469.php,-1
Panasonic,T11,"M2-A01W, M2-A01L","['Black', ' White']",['1GB'],['4GB'],-1,"IPS LCD capacitive touchscreen, 16M colors","4.0 inches, 45.5 cm",Dual SIM,Android 4.1 (Jelly Bean),"['5 MP, AF']",['VGA'],http://webcache.googleusercontent.com/search?q=cache:https://www.gsmarena.com/panasonic_t11-5769.php,-1
Panasonic,P11,"M2-A01W, M2-A01L","['Black', ' White', ' Fluorescent Green']",['1GB'],['4GB'],-1,"IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm",Dual SIM,Android 4.1.2 (Jelly Bean),"['8 MP, AF']",['2 MP'],http://webcache.googleusercontent.com/search?q=cache:https://www.gsmarena.com/panasonic_p11-5770.php,-1
Panasonic,T21,"M2-A01W, M2-A01L","['Black', ' White']",['1GB'],['4GB'],-1,"IPS LCD capacitive touchscreen, 16M colors","4.5 inches, 55.8 cm",Dual SIM,Android 4.1 (Jelly Bean),"['8 MP, AF']",['2 MP'],http://webcache.googleusercontent.com/search?q=cache:https://www.gsmarena.com/panasonic_t21-5771.php,-1
Panasonic,T31,"M2-A01W, M2-A01L","['Pure White', ' Bluish Black']",['512MB'],['4GB'],-1,"TFT capacitive touchscreen, 16M colors","4.0 inches, 45.5 cm","Dual SIM (Mini-SIM, dual stand-by)",Android 4.2.2 (Jelly Bean),['3.15 MP'],['VGA'],http://webcache.googleusercontent.com/search?q=cache:https://www.gsmarena.com/panasonic_t31-5815.php,-1
Huawei,Ascend P7,"P7-L10, P7-L00","['Black', ' white', ' pink']",['2GB'],['16GB'],-1,"IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm","Single SIM (Micro-SIM) or Dual SIM (Micro-SIM/ Nano-SIM, dual stand-by)","Android 4.4.2 (KitKat), upgradable to 5.1.1 (Lollipop); EMUI 2.3","['13 MP, f/2.0, 28mm (wide), AF']","['8 MP, f/2.0, 26mm (wide)']",http://webcache.googleusercontent.com/search?q=cache:https://www.gsmarena.com/huawei_ascend_p7-6124.php,-1
Panasonic,A200,"P7-L10, P7-L00","['3 - White', ' Black', ' Pink']",['KB'],['512'],-1,"TFT, 65K colors",,Mini-SIM,"Android 4.4.2 (KitKat), upgradable to 5.1.1 (Lollipop); EMUI 2.3",['No'],[],http://webcache.googleusercontent.com/search?q=cache:https://www.gsmarena.com/panasonic_a200-911.php,-1
Panasonic,A500,"P7-L10, P7-L00","['Black', ' White']",['KB'],['512'],-1,"TFT,65K colors",,Mini-SIM,"Android 4.4.2 (KitKat), upgradable to 5.1.1 (Lollipop); EMUI 2.3",['No'],[],http://webcache.googleusercontent.com/search?q=cache:https://www.gsmarena.com/panasonic_a500-816.php,-1
Panasonic,A500,"P7-L10, P7-L00","['Black', ' White']",['KB'],['512'],-1,"TFT,65K colors",,Mini-SIM,"Android 4.4.2 (KitKat), upgradable to 5.1.1 (Lollipop); EMUI 2.3",['No'],[],http://webcache.googleusercontent.com/search?q=cache:https://www.gsmarena.com/panasonic_a500-816.php,-1
Panasonic,X200,"P7-L10, P7-L00","['Black', ' White']",['KB'],['512'],-1,"TFT, 65K colors",,Mini-SIM,"Android 4.4.2 (KitKat), upgradable to 5.1.1 (Lollipop); EMUI 2.3",['VGA'],['No'],http://webcache.googleusercontent.com/search?q=cache:https://www.gsmarena.com/panasonic_x200-818.php,-1
Panasonic,X200,"P7-L10, P7-L00","['Black', ' White']",['KB'],['512'],-1,"TFT, 65K colors",,Mini-SIM,"Android 4.4.2 (KitKat), upgradable to 5.1.1 (Lollipop); EMUI 2.3",['VGA'],['No'],http://webcache.googleusercontent.com/search?q=cache:https://www.gsmarena.com/panasonic_x200-818.php,-1
Panasonic,X400,"P7-L10, P7-L00","['Black', ' Red', ' White']",['KB'],['512'],-1,"TFT, 65K colors",,Mini-SIM,"Android 4.4.2 (KitKat), upgradable to 5.1.1 (Lollipop); EMUI 2.3",['VGA'],['No'],http://webcache.googleusercontent.com/search?q=cache:https://www.gsmarena.com/panasonic_x400-819.php,-1
Panasonic,X400,"P7-L10, P7-L00","['Black', ' Red', ' White']",['KB'],['512'],-1,"TFT, 65K colors",,Mini-SIM,"Android 4.4.2 (KitKat), upgradable to 5.1.1 (Lollipop); EMUI 2.3",['VGA'],['No'],http://webcache.googleusercontent.com/search?q=cache:https://www.gsmarena.com/panasonic_x400-819.php,-1
Lenovo,A5860,"P7-L10, P7-L00","['White', ' Silver', ' Gray', ' Black']",['1GB'],['8GB'],-1,"IPS LCD capacitive touchscreen, 16M colors","5.5 inches, 83.4 cm",Dual SIM,Android 5.0 (Lollipop),"['8 MP, AF']",['2 MP'],http://webcache.googleusercontent.com/search?q=cache:https://www.gsmarena.com/lenovo_a5860-7195.php,-1
Sony,Xperia X Ultra,"P7-L10, P7-L00","['Gray', ' Red']",['4GB'],['64GB'],-1,"IPS LCD capacitive touchscreen, 16M colors","6.45 inches, 107.4 cm",Nano-SIM,Android 7.0 (Nougat),"['19 MP, AF']",['13 MP'],http://webcache.googleusercontent.com/search?q=cache:https://www.gsmarena.com/sony_xperia_x_ultra-8668.php,-1
Huawei,Ascend Y201 Pro,"P7-L10, P7-L00",['Black'],['512MB'],['4GB'],-1,"TFT capacitive touchscreen, 256K colors","3.5 inches, 36.5 cm",Yes,Android 4.0 (Ice Cream Sandwich),['3.15 MP'],['No'],http://webcache.googleusercontent.com/search?q=cache:https://www.gsmarena.com/huawei_ascend_y201_pro-5112.php,-1
Huawei,Ascend Y201 Pro,"P7-L10, P7-L00",['Black'],['512MB'],['4GB'],-1,"TFT capacitive touchscreen, 256K colors","3.5 inches, 36.5 cm",Yes,Android 4.0 (Ice Cream Sandwich),['3.15 MP'],['No'],http://webcache.googleusercontent.com/search?q=cache:https://www.gsmarena.com/huawei_ascend_y201_pro-5112.php,-1
Huawei,Ascend Y201 Pro,"P7-L10, P7-L00",['Black'],['512MB'],['4GB'],-1,"TFT capacitive touchscreen, 256K colors","3.5 inches, 36.5 cm",Yes,Android 4.0 (Ice Cream Sandwich),['3.15 MP'],['No'],http://webcache.googleusercontent.com/search?q=cache:https://www.gsmarena.com/huawei_ascend_y201_pro-5112.php,-1
Panasonic,GD70,"P7-L10, P7-L00","['3 ( titan', ' green and blue )']",['512MB'],['4GB'],-1,Monochrome graphic,,Mini-SIM,Android 4.0 (Ice Cream Sandwich),['No'],[],http://webcache.googleusercontent.com/search?q=cache:https://www.gsmarena.com/panasonic_gd70-123.php,-1
Panasonic,GD90,"P7-L10, P7-L00","['3 (silver', ' dark blue', ' anthracite']",['512MB'],['4GB'],-1,Monochrome graphic,,Mini-SIM,Android 4.0 (Ice Cream Sandwich),['No'],[],http://webcache.googleusercontent.com/search?q=cache:https://www.gsmarena.com/panasonic_gd90-124.php,-1
Panasonic,GD92,"P7-L10, P7-L00",['2 ( gun metallic and blue )'],['512MB'],['4GB'],-1,Monochrome graphic,,Mini-SIM,Android 4.0 (Ice Cream Sandwich),['No'],[],http://webcache.googleusercontent.com/search?q=cache:https://www.gsmarena.com/panasonic_gd92-125.php,-1
Panasonic,GD92,"P7-L10, P7-L00",['2 ( gun metallic and blue )'],['512MB'],['4GB'],-1,Monochrome graphic,,Mini-SIM,Android 4.0 (Ice Cream Sandwich),['No'],[],http://webcache.googleusercontent.com/search?q=cache:https://www.gsmarena.com/panasonic_gd92-125.php,-1
Panasonic,GD35,"P7-L10, P7-L00","['3 - Winter White', ' Black Ice', ' Cool Blue']",['512MB'],['4GB'],-1,Monochrome graphic,,Mini-SIM,Android 4.0 (Ice Cream Sandwich),['No'],[],http://webcache.googleusercontent.com/search?q=cache:https://www.gsmarena.com/panasonic_gd35-268.php,-1
Panasonic,GD35,"P7-L10, P7-L00","['3 - Winter White', ' Black Ice', ' Cool Blue']",['512MB'],['4GB'],-1,Monochrome graphic,,Mini-SIM,Android 4.0 (Ice Cream Sandwich),['No'],[],http://webcache.googleusercontent.com/search?q=cache:https://www.gsmarena.com/panasonic_gd35-268.php,-1
Panasonic,GD95,"P7-L10, P7-L00",['2'],['512MB'],['4GB'],-1,Monochrome graphic,,Mini-SIM,Android 4.0 (Ice Cream Sandwich),['No'],[],http://webcache.googleusercontent.com/search?q=cache:https://www.gsmarena.com/panasonic_gd95-242.php,-1
LG,GT540 Optimus,T540,"['Black', ' White', ' Pink']",['156MB'],['139MB'],-1,"TFT resistive touchscreen, 256K colors (65K effective)","3.0 inches, 26.8 cm",Mini-SIM,"Android 1.6 (Donut), upgradable to 2.1 (Eclair)","['3.15 MP, AF']",['No'],http://webcache.googleusercontent.com/search?q=cache:https://www.gsmarena.com/lg_gt540_optimus-3081.php,-1
Huawei,Pillar,T540,['Black'],['156MB'],['139MB'],-1,"TFT, 256K colors","2.0 inches, 12.4 cm",Mini-SIM,"Android 1.6 (Donut), upgradable to 2.1 (Eclair)",['VGA'],['No'],http://webcache.googleusercontent.com/search?q=cache:https://www.gsmarena.com/huawei_pillar-4312.php,-1
Samsung,Trender,T540,"['Sapphire', ' Amethyst']",['156MB'],['139MB'],-1,"TFT resistive touchscreen, 65K colors","2.8 inches, 24.3 cm",Mini-SIM,"Android 1.6 (Donut), upgradable to 2.1 (Eclair)",['1.3 MP'],['No'],http://webcache.googleusercontent.com/search?q=cache:https://www.gsmarena.com/samsung_trender-3991.php,-1
Samsung,Trender,T540,"['Sapphire', ' Amethyst']",['156MB'],['139MB'],-1,"TFT resistive touchscreen, 65K colors","2.8 inches, 24.3 cm",Mini-SIM,"Android 1.6 (Donut), upgradable to 2.1 (Eclair)",['1.3 MP'],['No'],http://webcache.googleusercontent.com/search?q=cache:https://www.gsmarena.com/samsung_trender-3991.php,-1
Samsung,R640 Character,T540,['Electric Blue'],['156MB'],['139MB'],-1,"TFT touchscreen, 256K colors","2.8 inches, 24.3 cm",Mini-SIM,"Android 1.6 (Donut), upgradable to 2.1 (Eclair)",['1.3 MP'],['No'],http://webcache.googleusercontent.com/search?q=cache:https://www.gsmarena.com/samsung_r640_character-4058.php,-1
Samsung,Conquer 4G,T540,['Graphite'],['512MB'],['1GB'],-1,"TFT capacitive touchscreen, 256K colors","3.5 inches, 36.5 cm",Mini-SIM,Android 2.3.4 (Gingerbread),"['3.15 MP, AF']",['1.3 MP'],http://webcache.googleusercontent.com/search?q=cache:https://www.gsmarena.com/samsung_conquer_4g-4026.php,-1
Samsung,Convoy 2,T540,['Black'],"['RAM', 'ROM']","['128MB', '256MB']",-1,"TFT, 256K colors","2.2 inches, 15.0 cm",Mini-SIM,Android 2.3.4 (Gingerbread),['3.15 MP'],['No'],http://webcache.googleusercontent.com/search?q=cache:https://www.gsmarena.com/samsung_convoy_2-4283.php,-1
Samsung,R720 Admire,T540,"['Black', ' Red']","['RAM', 'ROM']","['128MB', '256MB']",-1,"TFT capacitive touchscreen, 256K colors","3.5 inches, 36.5 cm",Mini-SIM,Android 2.3.3 (Gingerbread),['3.15 MP'],['No'],http://webcache.googleusercontent.com/search?q=cache:https://www.gsmarena.com/samsung_r720_admire-4269.php,-1
Samsung,I9103 Galaxy R,T540,['Black'],['1GB'],['8GB'],-1,"SC-LCD capacitive touchscreen, 16M colors","4.2 inches, 50.2 cm",Mini-SIM,"Android 2.3.3 (Gingerbread), upgradable to 4.0 (Ice Cream Sandwich)","['5 MP, AF']",['1.3 MP'],http://webcache.googleusercontent.com/search?q=cache:https://www.gsmarena.com/samsung_i9103_galaxy_r-3967.php,-1
Samsung,Galaxy S II 4G I9100M,GT-I9100M,['Black'],['1GB'],['16GB'],-1,"Super AMOLED Plus capacitive touchscreen, 16M colors","4.3 inches, 52.6 cm",Mini-SIM,Android 2.3 (Gingerbread),"['8 MP, f/2.6, 1/3.2"", AF']",['2 MP'],http://webcache.googleusercontent.com/search?q=cache:https://www.gsmarena.com/samsung_galaxy_s_ii_4g_i9100m-4059.php,-1
Samsung,S5690 Galaxy Xcover,GT-I9100M,['Gray'],['512MB'],['150MB'],-1,"Capacitive touchscreen, 16M colors","3.65 inches, 39.7 cm",Mini-SIM,Android 2.3 (Gingerbread),"['3.15 MP, AF']",['No'],http://webcache.googleusercontent.com/search?q=cache:https://www.gsmarena.com/samsung_s5690_galaxy_xcover-4091.php,-1
HTC,One (M8i),GT-I9100M,"['Gunmetal Gray', ' Glacial Silver', ' Amber Gold']","['2GB', '2GB']","['16GB', '32GB']",-1,"Super LCD3 capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm",Nano-SIM,Android 5.1 (Lollipop); Sense UI 7,"['13 MP, AF', '2 MP, depth sensor']",['5 MP'],http://webcache.googleusercontent.com/search?q=cache:https://www.gsmarena.com/htc_one_(m8i)-7033.php,-1
HTC,One (M8i),GT-I9100M,"['Gunmetal Gray', ' Glacial Silver', ' Amber Gold']","['2GB', '2GB']","['16GB', '32GB']",-1,"Super LCD3 capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm",Nano-SIM,Android 5.1 (Lollipop); Sense UI 7,"['13 MP, AF', '2 MP, depth sensor']",['5 MP'],http://webcache.googleusercontent.com/search?q=cache:https://www.gsmarena.com/htc_one_(m8i)-7033.php,-1
Huawei,U3300,GT-I9100M,['Black'],"['2GB', '2GB']","['16GB', '32GB']",-1,"TFT, 65K colors","2.0 inches, 12.6 cm",Mini-SIM,Android 5.1 (Lollipop); Sense UI 7,['2 MP'],['VGA videocall camera'],http://webcache.googleusercontent.com/search?q=cache:https://www.gsmarena.com/huawei_u3300-2636.php,-1
Samsung,P1000 Galaxy Tab,GT-P1000,['Black and Grey'],"['512MB', '512MB']","['16GB', '32GB']",-1,"TFT capacitive touchscreen, 16M colors","7.0 inches, 137.9 cm",Mini-SIM,"Android 2.2 (Froyo), upgradable to 2.3 (Gingerbread); TouchWiz UI","['3.15 MP, AF']",['1.3 MP'],http://webcache.googleusercontent.com/search?q=cache:https://www.gsmarena.com/samsung_p1000_galaxy_tab-3370.php,-1
Samsung,Galaxy Tab T-Mobile T849,GT-P1000,['Black'],['640MB'],['16GB'],-1,"TFT capacitive touchscreen, 16M colors","7.0 inches, 137.9 cm",Mini-SIM,Android 2.2 (Froyo),"['3.15 MP, AF']",['1.3 MP'],http://webcache.googleusercontent.com/search?q=cache:https://www.gsmarena.com/samsung_galaxy_tab_t_mobile_t849-3672.php,-1
Samsung,Galaxy Tab T-Mobile T849,GT-P1000,['Black'],['640MB'],['16GB'],-1,"TFT capacitive touchscreen, 16M colors","7.0 inches, 137.9 cm",Mini-SIM,Android 2.2 (Froyo),"['3.15 MP, AF']",['1.3 MP'],http://webcache.googleusercontent.com/search?q=cache:https://www.gsmarena.com/samsung_galaxy_tab_t_mobile_t849-3672.php,-1
Samsung,Galaxy Tab T-Mobile T849,GT-P1000,['Black'],['640MB'],['16GB'],-1,"TFT capacitive touchscreen, 16M colors","7.0 inches, 137.9 cm",Mini-SIM,Android 2.2 (Froyo),"['3.15 MP, AF']",['1.3 MP'],http://webcache.googleusercontent.com/search?q=cache:https://www.gsmarena.com/samsung_galaxy_tab_t_mobile_t849-3672.php,-1
Samsung,Galaxy Tab T-Mobile T849,GT-P1000,['Black'],['640MB'],['16GB'],-1,"TFT capacitive touchscreen, 16M colors","7.0 inches, 137.9 cm",Mini-SIM,Android 2.2 (Froyo),"['3.15 MP, AF']",['1.3 MP'],http://webcache.googleusercontent.com/search?q=cache:https://www.gsmarena.com/samsung_galaxy_tab_t_mobile_t849-3672.php,-1
Samsung,Galaxy Tab T-Mobile T849,GT-P1000,['Black'],['640MB'],['16GB'],-1,"TFT capacitive touchscreen, 16M colors","7.0 inches, 137.9 cm",Mini-SIM,Android 2.2 (Froyo),"['3.15 MP, AF']",['1.3 MP'],http://webcache.googleusercontent.com/search?q=cache:https://www.gsmarena.com/samsung_galaxy_tab_t_mobile_t849-3672.php,-1
Samsung,Focus,GT-P1000,['Black'],['512MB'],['8GB'],-1,"Super AMOLED capacitive touchscreen, 16M colors","4.0 inches, 45.5 cm",Mini-SIM,Microsoft Windows Phone 7,"['5 MP, AF']",[],http://webcache.googleusercontent.com/search?q=cache:https://www.gsmarena.com/samsung_focus-3453.php,-1
Samsung,Guru E1081T,gt-e1081t,['Black'],['512MB'],['8GB'],-1,"CSTN, 65K colors","1.43 inches, 6.6 cm",Mini-SIM,Microsoft Windows Phone 7,['No'],[],http://webcache.googleusercontent.com/search?q=cache:https://www.gsmarena.com/samsung_guru_e1081t-3749.php,-1
Samsung,E1225 Dual Sim Shift,gt-e1081t,['Black'],['512MB'],['8GB'],-1,"TFT, 65K colors","1.8 inches, 10.2 cm",Dual SIM (Mini-SIM),Microsoft Windows Phone 7,['No'],[],http://webcache.googleusercontent.com/search?q=cache:https://www.gsmarena.com/samsung_e1225_dual_sim_shift-3748.php,-1
Samsung,E1225 Dual Sim Shift,gt-e1081t,['Black'],['512MB'],['8GB'],-1,"TFT, 65K colors","1.8 inches, 10.2 cm",Dual SIM (Mini-SIM),Microsoft Windows Phone 7,['No'],[],http://webcache.googleusercontent.com/search?q=cache:https://www.gsmarena.com/samsung_e1225_dual_sim_shift-3748.php,-1
Samsung,E1225 Dual Sim Shift,gt-e1081t,['Black'],['512MB'],['8GB'],-1,"TFT, 65K colors","1.8 inches, 10.2 cm",Dual SIM (Mini-SIM),Microsoft Windows Phone 7,['No'],[],http://webcache.googleusercontent.com/search?q=cache:https://www.gsmarena.com/samsung_e1225_dual_sim_shift-3748.php,-1
Huawei,Mulan,gt-e1081t,"['Black', ' white']",['3GB'],['16GB'],-1,"IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm",Yes,Android 4.4.2 (KitKat); EMUI 2.3,"['13 MP, AF']",['5 MP'],http://webcache.googleusercontent.com/search?q=cache:https://www.gsmarena.com/huawei_mulan-6426.php,-1
Huawei,G10,gt-e1081t,"['White/Gold', ' Black']",['4GB'],['64GB'],-1,"IPS LCD capacitive touchscreen, 16M colors","5.9 inches, 96.0 cm","Dual SIM (Nano-SIM, dual stand-by)",Android 7.1 (Nougat); EMUI 5.1,"['16 MP, f/2.2, 27mm (wide), PDAF', '2 MP, depth sensor']","['8 MP', '5 MP, depth sensor']",http://webcache.googleusercontent.com/search?q=cache:https://www.gsmarena.com/huawei_g10-8863.php,-1
Huawei,G10,gt-e1081t,"['White/Gold', ' Black']",['4GB'],['64GB'],-1,"IPS LCD capacitive touchscreen, 16M colors","5.9 inches, 96.0 cm","Dual SIM (Nano-SIM, dual stand-by)",Android 7.1 (Nougat); EMUI 5.1,"['16 MP, f/2.2, 27mm (wide), PDAF', '2 MP, depth sensor']","['8 MP', '5 MP, depth sensor']",http://webcache.googleusercontent.com/search?q=cache:https://www.gsmarena.com/huawei_g10-8863.php,-1
