brand,name,models,color,ram,storage,rom,screen,screen_size,sim,os,behind_camera,front_camera,url,error_url
Acer,Iconia Tab A3,Studio View XL,"['Black/Silver', ' White']","['1GB', '1GB']","['16GB', '32GB']",128MB,"LED-backlit IPS LCD capacitive touchscreen, 16M colors","10.1 inches, 295.8 cm",Micro-SIM,Android 4.2.2 (Jelly Bean),['5 MP'],['VGA'],http://webcache.googleusercontent.com/search?q=cache:https://www.gsmarena.com/acer_iconia_tab_a3-5700.php,-1
Acer,Liquid S1,Studio View XL,"['White', ' Black']",['1GB'],['8GB'],128MB,"TFT capacitive touchscreen, 16M colors","5.7 inches, 89.6 cm","Single SIM (Micro-SIM) or Dual SIM (Micro-SIM, dual stand-by)",Android 4.2 (Jelly Bean); Float UI,"['8 MP, AF']",['2 MP'],http://webcache.googleusercontent.com/search?q=cache:https://www.gsmarena.com/acer_liquid_s1-5496.php,-1
Acer,Liquid Z3,Studio View XL,"['Rock Black', ' Classic White']",['512MB'],['4GB'],128MB,"TFT capacitive touchscreen, 16M colors","3.5 inches, 36.5 cm","Single SIM (Micro-SIM) or Dual SIM (Micro-SIM, dual stand-by)",Android 4.2 (Jelly Bean),['3.15 MP'],['No'],http://webcache.googleusercontent.com/search?q=cache:https://www.gsmarena.com/acer_liquid_z3-5624.php,-1
Acer,Liquid S2,Studio View XL,"['Black', ' Red']",['2GB'],['16GB'],128MB,"IPS LCD capacitive touchscreen, 16M colors","6.0 inches, 98.7 cm",Nano-SIM,Android 4.2.2 (Jelly Bean),"['13 MP, AF']",['2 MP'],http://webcache.googleusercontent.com/search?q=cache:https://www.gsmarena.com/acer_liquid_s2-5670.php,-1
Acer,Liquid Z5,Studio View XL,"['Essential White', ' Gentle Grey']",['512MB'],['4GB'],128MB,"TFT capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm",Dual SIM,Android 4.2 (Jelly Bean),['5 MP'],['VGA'],http://webcache.googleusercontent.com/search?q=cache:https://www.gsmarena.com/acer_liquid_z5-5929.php,-1
Acer,Iconia A1-830,Studio View XL,['White'],['1GB'],['16GB'],128MB,"LED-backlit IPS LCD capacitive touchscreen, 16M colors","7.9 inches, 193.3 cm",No,Android 4.2 (Jelly Bean),"['5 MP, AF']",['2 MP'],http://webcache.googleusercontent.com/search?q=cache:https://www.gsmarena.com/acer_iconia_a1_830-5930.php,-1
Acer,Iconia B1-720,Studio View XL,"['Black', ' Gold']","['1GB', '1GB']","['8GB', '16GB']",128MB,TFT capacitive touchscreen,"7.0 inches, 137.9 cm",No,Android 4.2 (Jelly Bean),['VGA'],['No'],http://webcache.googleusercontent.com/search?q=cache:https://www.gsmarena.com/acer_iconia_b1_720-5932.php,-1
Acer,Iconia B1-721,Studio View XL,['Black/Red'],['1GB'],['16GB'],128MB,TFT capacitive touchscreen,"7.0 inches, 137.9 cm",Yes,Android 4.2 (Jelly Bean),['VGA'],['No'],http://webcache.googleusercontent.com/search?q=cache:https://www.gsmarena.com/acer_iconia_b1_721-5933.php,-1
Acer,Liquid Z4,Studio View XL,['Black/White'],['512MB'],['4GB'],128MB,TFT capacitive touchscreen,"4.0 inches, 45.5 cm","Single SIM (Micro-SIM) or Dual SIM (Micro-SIM, dual stand-by)",Android 4.2.2 (Jelly Bean),"['5 MP, AF']",['1.3 MP'],http://webcache.googleusercontent.com/search?q=cache:https://www.gsmarena.com/acer_liquid_z4-6115.php,-1
Acer,Liquid E3,Studio View XL,['Black/White'],['1GB'],['4GB'],128MB,"IPS LCD capacitive touchscreen, 16M colors","4.7 inches, 60.9 cm","Single SIM (Micro-SIM) or Dual SIM (Micro-SIM, dual stand-by)",Android 4.2.2 (Jelly Bean),"['13 MP, AF']",['2 MP'],http://webcache.googleusercontent.com/search?q=cache:https://www.gsmarena.com/acer_liquid_e3-6116.php,-1
Infinix,Note 3,X601,"['Palm gold', ' Crystal gray', ' Champagne Gold', ' Glossy silver']",['2GB'],['16GB'],128MB,"LTPS IPS LCD capacitive touchscreen, 16M colors","6.0 inches, 99.2 cm","Dual SIM (Micro-SIM, dual stand-by)",Android 6.0 (Marshmallow),"['13 MP, AF']",['5 MP'],http://webcache.googleusercontent.com/search?q=cache:https://www.gsmarena.com/infinix_note_3-9475.php,-1
